longitude,latitude,object_id,fire_id,asmnt_type,pre_id,post_id,nodata_threshold,low_threshold,moderate_threshold,high_threshold,fire_type,fire_name,greenness_threshold,ig_date,acres
-81.383003083076,27.72300514447,17525,FL2772308138319860112,Initial (SS),NULL,50160411986000,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/12 00:00:00+00,824
-80.8340029233536,27.7280051592614,17526,FL2772808083419860128,Initial (SS),NULL,50160411986000,-9999,420,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,661
-81.219003035689,27.7330051509772,17527,FL2773308121919860128,Initial (SS),NULL,50160411986000,-9999,445,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,524
-81.2160030360376,27.7720051605847,17528,FL2777208121619860128,Initial (SS),NULL,50160411986000,-9999,435,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,642
-80.5430028400571,27.7820051796768,17529,FL2778208054319860222,Initial (SS),NULL,50150411986100,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/02/22 00:00:00+00,683
-81.281003055422,27.7870051626339,17530,FL2778708128119860128,Initial (SS),NULL,50160411986000,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,1189
-80.5340028385802,27.8190051889777,17531,FL2781908053419860222,Initial (SS),NULL,50150411986100,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/02/22 00:00:00+00,1410
-81.3010030625632,27.8290051723879,17532,FL2782908130119860112,Initial (SS),NULL,50160411986000,-9999,420,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/12 00:00:00+00,1222
-80.5340028396125,27.8520051970707,17533,FL2785208053419860222,Initial (SS),NULL,50150411986100,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/02/22 00:00:00+00,554
-81.3350030731794,27.8520051771491,17534,FL2785208133519860128,Initial (SS),NULL,50160411986000,-9999,450,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,1411
-81.0140029816186,27.9120051998129,17535,FL2791208101419860128,Initial (SS),NULL,50160411986000,-9999,430,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,1867
-80.8680029394233,27.9240052063913,17536,FL2792408086819860112,Initial (SS),NULL,50160411986000,-9999,480,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/12 00:00:00+00,666
-81.0560029943026,27.9260052021795,17537,FL2792608105619860128,Initial (SS),NULL,50160411986000,-9999,420,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,516
-81.0190029854275,27.9860052177436,17538,FL2798608101919860128,Initial (SS),NULL,50160411986000,-9999,440,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,1225
-81.3300030760853,27.9890052106454,17539,FL2798908133019860112,Initial (SS),NULL,50160411986000,-9999,420,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/12 00:00:00+00,1914
-80.8830029465317,28.0100052270137,17540,FL2801008088319860112,Initial (SS),NULL,50160411986000,-9999,430,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/12 00:00:00+00,772
-81.1090030140553,28.0610052337477,17541,FL2806108110919860112,Initial (SS),NULL,50160411986000,-9999,420,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/12 00:00:00+00,763
-81.4240031069963,28.1000052352387,17542,FL2810008142419860128,Initial (SS),NULL,50160411986000,-9999,420,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,669
-81.0220029906949,28.1230052510376,17543,FL2812308102219860128,Initial (SS),NULL,50160411986000,-9999,400,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/28 00:00:00+00,5442
-81.3080030739984,28.1230052437739,17544,FL2812308130819860112,Initial (SS),NULL,50160411986000,-9999,420,-9999,-9999,Unknown,UNNAMED,-9999,1986/01/12 00:00:00+00,1016
-85.2270042592158,29.7710055244143,17545,FL2977108522719860914,Initial (SS),NULL,50190391986300,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/09/14 00:00:00+00,991
-84.9570041850014,29.8330055467211,17546,FL2983308495719860423,Initial (SS),NULL,50190391986100,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/04/23 00:00:00+00,868
-85.2860042803827,29.8830055482565,17547,FL2988308528619860914,Initial (SS),NULL,50190391986300,-9999,430,-9999,-9999,Unknown,UNNAMED,-9999,1986/09/14 00:00:00+00,1139
-85.2700042759654,29.8860055494258,17548,FL2988608527019860407,Initial (SS),NULL,50190391986100,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/04/07 00:00:00+00,1190
-84.9580041886917,29.9190055663965,17549,FL2991908495819861016,Initial (SS),NULL,50190391986300,-9999,500,-9999,-9999,Unknown,UNNAMED,-9999,1986/10/16 00:00:00+00,997
-85.2490042717251,29.9290055598832,17550,FL2992908524919860407,Initial (SS),NULL,50190391986100,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/04/07 00:00:00+00,2382
-85.2230042645094,29.9330055615849,17551,FL2993308522319860728,Initial (SS),NULL,50190391986300,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/07/28 00:00:00+00,974
-85.3260042939588,29.9390055598294,17552,FL2993908532619860914,Initial (SS),NULL,50190391986300,-9999,630,-9999,-9999,Unknown,UNNAMED,-9999,1986/09/14 00:00:00+00,802
-84.85400416154,29.9800055835027,17553,FL2998008485419861016,Initial (SS),NULL,50190391986300,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/10/16 00:00:00+00,1068
-85.4060043182353,29.9790055665147,17554,FL2997908540619860407,Initial (SS),NULL,50190391986100,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/04/07 00:00:00+00,833
-84.920004181516,30.0100055883679,17555,FL3001008492019861016,Initial (SS),NULL,50190391986300,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/10/16 00:00:00+00,1543
-85.9040044716851,30.287005620948,17556,FL3028708590419860322,Initial (SS),NULL,50190391986100,-9999,550,-9999,-9999,Unknown,UNNAMED,-9999,1986/03/22 00:00:00+00,1065
